BURGLARY,100 BLOCK 6TH ST,5/14/2012 06:46 AM
AUTO BOOST/STRIP,1ST ST & HOWARD ST,5/14/2012 06:25 AM
BURGLARY,1300 BLOCK LEAVENWORTH ST,5/14/2012 05:20 AM
ASSAULT/BATTERY,1100 BLOCK BUSH ST,5/14/2012 04:41 AM
NOISE NUISANCE,1400 BLOCK CALIFORNIA ST,5/14/2012 04:37 AM
NOISE NUISANCE,300 BLOCK 5TH AV,5/14/2012 04:27 AM
NOISE NUISANCE,1000 BLOCK MARKET ST,5/14/2012 04:23 AM
ROBBERY,700 BLOCK MARKET ST,5/14/2012 03:51 AM
NOISE NUISANCE,200 BLOCK ANZA ST,5/14/2012 02:56 AM
NOISE NUISANCE,200 BLOCK COLLINS ST,5/14/2012 02:54 AM
NOISE NUISANCE,200 BLOCK MCALLISTER ST,5/14/2012 02:30 AM
ASSAULT/BATTERY,900 BLOCK SUTTER ST,5/14/2012 02:26 AM
ASSAULT/BATTERY,STEINER ST & VALLEJO ST,5/14/2012 02:08 AM
AUTO BOOST/STRIP,1700 BLOCK UNION ST,5/14/2012 01:56 AM
VANDALISM,SUTTER ST & LEAVENWORTH ST,5/14/2012 01:41 AM
IND EXPOSURE,800 BLOCK OFARRELL ST,5/14/2012 01:41 AM
FRAUD,600 BLOCK GEARY ST,5/14/2012 01:37 AM
NOISE NUISANCE,HOWARD ST & 2ND ST,5/14/2012 01:31 AM
ROBBERY,GOLDEN GATE AV & MARKET ST,5/14/2012 12:58 AM
VANDALISM,600 BLOCK TURK ST,5/14/2012 12:46 AM
PERSON W/KNIFE,600 BLOCK ELLIS ST,5/14/2012 12:18 AM
NOISE NUISANCE,LEAVENWORTH ST & EDDY ST,5/14/2012 12:14 AM
INTOX PERSON,400 BLOCK GREEN ST,5/14/2012 12:07 AM
NOISE NUISANCE,HOWARD ST & SPEAR ST,5/13/2012 11:55 PM
NOISE NUISANCE,2400 BLOCK SUTTER ST,5/13/2012 11:45 PM
INTOX PERSON,KEARNY ST & VALLEJO ST,5/13/2012 11:45 PM
STOLEN VEHICLE,1700 BLOCK OFARRELL ST,5/13/2012 11:44 PM
NOISE NUISANCE,600 BLOCK EDDY ST,5/13/2012 11:43 PM
NOISE NUISANCE,500 BLOCK TURK ST,5/13/2012 11:42 PM
PERSON W/KNIFE DV,1000 BLOCK MISSION ST,5/13/2012 11:36 PM
NOISE NUISANCE,EDDY ST & HYDE ST,5/13/2012 11:29 PM
NOISE NUISANCE,SUTTER ST & BRODERICK ST,5/13/2012 11:04 PM
PETTY THEFT,1000 BLOCK TURK ST,5/13/2012 10:48 PM
PETTY THEFT,100 BLOCK POWELL ST,5/13/2012 10:46 PM
NOISE NUISANCE,2400 BLOCK SUTTER ST,5/13/2012 10:45 PM
ROBBERY,100 BLOCK NEW MONTGOMERY ST,5/13/2012 10:44 PM
AUTO BOOST/STRIP,SANSOME ST & PACIFIC AV,5/13/2012 10:37 PM
AUTO BOOST/STRIP,500 BLOCK SANSOME ST,5/13/2012 10:33 PM
AUTO BOOST/STRIP,1200 BLOCK SANSOME ST,5/13/2012 10:32 PM
NOISE NUISANCE,500 BLOCK LARKIN ST,5/13/2012 10:19 PM
NOISE NUISANCE,300 BLOCK 5TH AV,5/13/2012 10:06 PM
STOLEN VEHICLE,2300 BLOCK FRANKLIN ST,5/13/2012 09:56 PM
DRUNK DRIVER,700 BLOCK 80 WB BAY BR Z TI,5/13/2012 09:44 PM
NOISE NUISANCE,GEARY ST & JONES ST,5/13/2012 09:40 PM
DRUNK DRIVER,00 BLOCK 101NB BAYSHORE BL ON,5/13/2012 09:35 PM
PETTY THEFT,1000 BLOCK TURK ST,5/13/2012 09:35 PM
NOISE NUISANCE,HOWARD ST & SPEAR ST,5/13/2012 09:27 PM
FRAUD,2200 BLOCK LAGUNA ST,5/13/2012 09:15 PM
BURGLARY,100 BLOCK VARENNES ST,5/13/2012 09:05 PM
VANDALISM,1300 BLOCK BUSH ST,5/13/2012 08:48 PM
BURGLARY,900 BLOCK SUTTER ST,5/13/2012 08:45 PM
ASSAULT/BATTERY,POWELL ST & GEARY ST,5/13/2012 08:29 PM
NOISE NUISANCE,500 BLOCK BROADWAY,5/13/2012 08:25 PM
NOISE NUISANCE,500 BLOCK BUSH ST,5/13/2012 08:23 PM
NOISE NUISANCE,900 BLOCK SUTTER ST,5/13/2012 08:22 PM
ASSAULT/BATTERY,1000 BLOCK POLK ST,5/13/2012 08:18 PM
NOISE NUISANCE,POLK ST & AUSTIN ST,5/13/2012 08:11 PM
NOISE NUISANCE,100 BLOCK JONES ST,5/13/2012 08:10 PM
BURGLARY,2900 BLOCK GOUGH ST,5/13/2012 08:09 PM
VANDALISM,1400 BLOCK LARKIN ST,5/13/2012 08:07 PM
NOISE NUISANCE,300 BLOCK EDDY ST,5/13/2012 08:05 PM
PETTY THEFT,00 BLOCK MASONIC AV,5/13/2012 07:54 PM
STOLEN VEHICLE,1000 BLOCK TURK ST,5/13/2012 07:51 PM
NOISE NUISANCE,1600 BLOCK WASHINGTON ST,5/13/2012 07:50 PM
BURGLARY,900 BLOCK JONES ST,5/13/2012 06:40 PM
FRAUD,300 BLOCK 3RD AV,5/13/2012 06:35 PM
BURGLARY,1500 BLOCK CALIFORNIA ST,5/13/2012 06:14 PM
ASSAULT/BATTERY,1000 BLOCK POLK ST,5/13/2012 06:12 PM
GRAND THEFT,5TH ST & MISSION ST,5/13/2012 06:11 PM
ASSAULT/BATTERY,SUTTER ST & LAGUNA ST,5/13/2012 06:06 PM
ASSAULT/BATTERY,300 BLOCK COLUMBUS AV,5/13/2012 06:06 PM
STOLEN VEHICLE,VALLEJO ST & VAN NESS AV,5/13/2012 06:04 PM
PETTY THEFT,700 BLOCK MARKET ST,5/13/2012 05:26 PM
NOISE NUISANCE,NEW MONTGOMERY ST & HOWARD ST,5/13/2012 05:22 PM
PERSON W/KNIFE,1000 BLOCK GRANT AV,5/13/2012 05:15 PM
IND EXPOSURE,1600 BLOCK BATTERY CHAMBERLIN RD,5/13/2012 05:09 PM
PERSON W/KNIFE,700 BLOCK WASHINGTON ST,5/13/2012 05:04 PM
PETTY THEFT,GEARY ST & POWELL ST,5/13/2012 04:54 PM
PERSON W/KNIFE,MARKET ST & 6TH ST,5/13/2012 04:50 PM
FRAUD,400 BLOCK GEARY ST,5/13/2012 04:22 PM
IND EXPOSURE,400 BLOCK BRYANT ST,5/13/2012 04:17 PM
NOISE NUISANCE,2ND ST & HOWARD ST,5/13/2012 04:16 PM
IND EXPOSURE,500 BLOCK JESSIE ST,5/13/2012 04:13 PM
VANDALISM,EDDY ST & VAN NESS AV,5/13/2012 03:33 PM
GRAND THEFT,700 BLOCK BROADWAY,5/13/2012 03:25 PM
PERSON WITH GUN,900 BLOCK GEARY ST,5/13/2012 03:24 PM
AUTO BOOST/STRIP,2ND ST & STILLMAN ST,5/13/2012 03:22 PM
AUTO BOOST/STRIP,HYDE ST & BUSH ST,5/13/2012 03:13 PM
ASSAULT/BATTERY,100 BLOCK ELLIS ST,5/13/2012 03:13 PM
PETTY THEFT,200 BLOCK GEARY ST,5/13/2012 03:07 PM
AUTO BOOST/STRIP,1000 BLOCK TURK ST,5/13/2012 03:04 PM
PETTY THEFT,00 BLOCK 5TH ST,5/13/2012 02:58 PM
AUTO BOOST/STRIP,BUSH ST & HYDE ST,5/13/2012 02:56 PM
ASSAULT/BATTERY,600 BLOCK EDDY ST,5/13/2012 02:47 PM
NOISE NUISANCE,00 BLOCK 21ST AV,5/13/2012 01:45 PM
STOLEN VEHICLE,2100 BLOCK POST ST,5/13/2012 01:21 PM
STOLEN VEHICLE,1400 BLOCK VALLEJO ST,5/13/2012 01:13 PM
STRONGARM ROB.,800 BLOCK MARKET ST,5/13/2012 01:12 PM
